subid,proba,pred
KKI-0050826,98.67,1.0
UM-1-0050375,35.33,0.0
UM-1-0050283,97.33,1.0
UCLA-1-0051213,97.0,1.0
UCLA-2-0051300,46.67,0.0
UM-1-0050306,96.0,1.0
UM-1-0050322,98.67,1.0
Olin-0050110,97.33,1.0
Stanford-0051191,98.67,1.0
UM-1-0050317,95.33,1.0
Pitt-0050060,39.33,0.0
UM-1-0050321,36.33,0.0
UM-2-0050388,40.33,0.0
USM-0050443,35.67,0.0
SDSU-0050214,40.0,0.0
UM-2-0050385,36.33,0.0
Olin-0050119,39.33,0.0
SDSU-0050185,97.67,1.0
MaxMun-d-0051331,40.0,0.0
UM-2-0050406,47.33,0.0
SDSU-0050202,42.0,0.0
UM-1-0050316,96.0,1.0
UCLA-1-0051272,40.0,0.0
MaxMun-d-0051356,41.67,0.0
UM-1-0050312,91.33,1.0
UM-1-0050356,33.33,0.0
USM-0050511,97.67,1.0
KKI-0050821,48.67,0.0
UM-1-0050305,96.33,1.0
SDSU-0050212,98.0,1.0
Stanford-0051174,98.33,1.0
Pitt-0050017,93.67,1.0
UM-1-0050338,35.0,0.0
MaxMun-d-0051353,98.33,1.0
UM-2-0050399,30.67,0.0
UM-1-0050311,95.33,1.0
KKI-0050781,39.0,0.0
UM-1-0050368,44.0,0.0
Stanford-0051160,98.0,1.0
MaxMun-d-0051352,97.0,1.0
UM-2-0050386,35.33,0.0
UM-1-0050358,37.33,0.0
USM-0050507,31.33,0.0
Stanford-0051190,99.67,1.0
UM-1-0050365,27.33,0.0
UM-1-0050314,34.0,0.0
UCLA-2-0051314,96.0,1.0
Olin-0050124,42.0,0.0
UM-1-0050299,98.33,1.0
UM-1-0050289,37.0,0.0
UM-2-0050414,41.33,0.0
Stanford-0051166,98.33,1.0
USM-0050489,94.33,1.0
UM-1-0050380,43.67,0.0
Olin-0050136,98.67,1.0
KKI-0050815,99.33,1.0
UCLA-2-0051312,96.67,1.0
UM-1-0050288,95.67,1.0
UCLA-2-0051294,40.33,0.0
Stanford-0051199,98.0,1.0
Olin-0050133,98.0,1.0
Yale-0050602,48.67,0.0
Yale-0050618,94.67,1.0
KKI-0050798,38.33,0.0
UM-1-0050313,96.67,1.0
UM-1-0050340,32.33,0.0
UM-1-0050362,44.67,0.0
KKI-0050785,97.33,1.0
UCLA-2-0051296,96.0,1.0
Olin-0050130,39.0,0.0
UM-1-0050303,98.33,1.0
UCLA-2-0051306,43.33,0.0
Pitt-0050003,68.67,1.0
Stanford-0051167,70.67,1.0
MaxMun-c-0051333,18.33,0.0
UCLA-1-0051215,90.0,1.0
NYU-0051114,40.67,0.0
Caltech-0051481,24.0,0.0
Caltech-0051477,14.67,0.0
UCLA-1-0051258,90.33,1.0
UM-2-0050383,49.33,0.0
Pitt-0050033,69.67,1.0
Trinity-0050240,32.67,0.0
Stanford-0051164,97.0,1.0
UM-1-0050352,93.0,1.0
Caltech-0051489,19.67,0.0
Stanford-0051182,46.0,0.0
NYU-0051093,40.33,0.0
MaxMun-a-0051362,48.33,0.0
SDSU-0050207,84.0,1.0
Leuven-2-0050728,37.0,0.0
NYU-0050959,40.33,0.0
UM-1-0050280,43.0,0.0
USM-0050446,38.67,0.0
NYU-0051011,59.0,1.0
MaxMun-a-0051607,45.33,0.0
SDSU-0050213,49.33,0.0
Stanford-0051187,78.0,1.0
Yale-0050627,49.0,0.0
UM-1-0050326,94.67,1.0
NYU-0051082,47.67,0.0
USM-0050494,33.67,0.0
UCLA-1-0051210,40.33,0.0
Leuven-1-0050701,63.67,1.0
USM-0050467,35.67,0.0
USM-0050505,39.67,0.0
KKI-0050791,42.0,0.0
OHSU-0050148,43.0,0.0
Caltech-0051488,12.67,0.0
UM-1-0050319,36.33,0.0
Stanford-0051170,57.0,1.0
MaxMun-c-0051328,25.67,0.0
Yale-0050612,45.0,0.0
Caltech-0051459,18.33,0.0
UCLA-1-0051271,48.67,0.0
Yale-0050577,48.67,0.0
Olin-0050122,90.67,1.0
Stanford-0051162,89.67,1.0
Caltech-0051472,14.33,0.0
Leuven-2-0050750,82.33,1.0
NYU-0051030,48.33,0.0
NYU-0051051,37.67,0.0
NYU-0051039,50.67,1.0
USM-0050444,32.33,0.0
NYU-0051097,46.67,0.0
NYU-0050978,41.67,0.0
Caltech-0051468,17.67,0.0
UCLA-1-0051228,62.67,1.0
Caltech-0051474,22.67,0.0
SDSU-0050186,94.0,1.0
UM-1-0050333,66.67,1.0
USM-0050449,30.67,0.0
NYU-0051107,44.67,0.0
NYU-0050955,37.33,0.0
MaxMun-d-0051349,76.0,1.0
Caltech-0051480,20.33,0.0
Pitt-0050004,42.33,0.0
UM-1-0050315,35.0,0.0
Pitt-0050037,36.67,0.0
UM-1-0050337,89.67,1.0
OHSU-0050161,43.0,0.0
UM-1-0050281,93.0,1.0
Stanford-0051186,93.33,1.0
Olin-0050126,94.0,1.0
UCLA-1-0051203,42.67,0.0
Trinity-0050265,86.0,1.0
Pitt-0050053,76.67,1.0
Stanford-0051194,53.0,1.0
Stanford-0051168,46.67,0.0
Olin-0050135,60.67,1.0
UCLA-1-0051211,94.33,1.0
Yale-0050604,62.33,1.0
Stanford-0051193,95.33,1.0
Stanford-0051178,44.67,0.0
Trinity-0050266,29.33,0.0
Pitt-0050020,57.67,1.0
NYU-0050964,35.33,0.0
Trinity-0051136,51.33,1.0
KKI-0050804,40.0,0.0
NYU-0051070,46.0,0.0
